Name	Party	University	Subject area	Phrase	Occupation
Baroness Byford	Conservative	No university found			No occupation found
Baroness Campbell of Loughborough	Crossbench	No university found	Education	Master of Education degree	No occupation found
Baroness Campbell of Surbiton	Crossbench	No university found	Social studies	or write, but she nevertheless regarded herself as quite intelligent, an honorary doctorate in law from Bristol University and another in social sciences from Sheffield Hallam University	No occupation found
Baroness Chalker of Wallasey	Conservative	No university found	Social studies	the Livingstone Medal by the Royal Scottish Geographical Society in 	Politician
Baroness Chisholm of Owlpen	Conservative	University of Portsmouth		No phrase found	No occupation found
Baroness Clark of Calton	Judge	Queens College, St Andrews,	Law	law at Queens College, St Andrews during its transition to independence as the University of Dundee School of Law, graduating in , PhD from the University of Edinburgh in 	No occupation found
Baroness Cohen of Pimlico	Labour	No university found	Other	from Newnham College, Cambridge University in 	No occupation found
Baroness Corston	Labour	London School of Economics, Open University	Law	at the Inns of Court School of Law, with the Open University	No occupation found
Baroness Coussins	Crossbench	No university found			No occupation found
Baroness Cox	Crossbench	University of London	Social studies	for a degree at the University of London where she graduated with a first class honours degree in sociology in , the Mkhitar Gosh Medal by the President of the Republic of Armenia Robert Kocharyan  	No occupation found
Baroness Crawley	Labour	Digby Stuart College	Other	an Honorary Doctorate of Health from Plymouth University , to Lady Crawley, plymouth	Teacher
Baroness Cumberlege	Conservative	No university found	Subjects allied to medicine	an Honorary Fellowship by the Royal College of Nursing	No occupation found
Baroness D'Souza	Non-affiliated	No university found	Historical & philosophical studies	Anthropology, graduating BSc in , at Lady Margaret Hall, obtaining the degree of Doctor of Philosophy 	No occupation found
Baroness Dean of Thornton-le-Fylde	Labour	No university found			Peer and Trade unionist
Baroness Deech	Crossbench	No university found	Law	Law at St Anne, with a first in 	No occupation found
Baroness Donaghy	Labour			No phrase found	No occupation found
Baroness Doocey	Liberal Democrat	No university found			No occupation found
Baroness Drake	Labour	No university found		No phrase found	No occupation found
Baroness Eaton	Conservative	Queen's University Belfast		No phrase found	No occupation found
Baroness Eccles of Moulton	Conservative	Open University	Other	Bachelor of Arts in 	Peer and Businesswoman
Baroness Emerton	Crossbench	No university found	Other	life peerage as Baroness Emerton, of Tunbridge Wells in the County of Kent and of Clerkenwell in the London Borough of Islington on 	No occupation found
Baroness Evans of Bowes Park	Conservative	Queen's University Belfast		No phrase found	Businessman
Baroness Falkender	Labour	No university found	Historical & philosophical studies	for a BA in History at Queen Mary College, University of London, she became secretary to the General Secretary of the Labour Party in , 	No occupation found
Baroness Falkner of Margravine	Liberal Democrat	London School of Economics University of Kent	Social studies	BSc , MA in International Relations and European Studies	No occupation found
Baroness Farrington of Ribbleton	Labour	No university found			No occupation found
Baroness Finlay of Llandaff	Crossbench	No university found			No occupation found
Baroness Flather	Conservative	No university found			No occupation found
Baroness Fookes	Conservative	No university found			No occupation found
Baroness Ford	Labour	No university found	Other	a life peerage as Baroness Ford, of Cunninghame in North Ayrshire on 	No occupation found
Baroness Fritchie	Crossbench	No university found	Other	in , honorary degrees by a number of academic institutions	No occupation found
Baroness Gale	Labour	No university found			No occupation found
Baroness Garden of Frognal	Liberal Democrat	St Hilda's College, Oxford			No occupation found
Baroness Gardner of Parkes	Conservative	No university found	Subjects allied to medicine	Bachelor of Dental Surgery , at Cordon Bleu de Paris, dentistry, winning the Arnott Prize for oral surgery in 	No occupation found
Baroness Gibson of Market Rasen	Labour	No university found	Social studies	with a Bachelor of Arts in government in 	No occupation found
Baroness Goldie	Conservative	No university found		No phrase found	No occupation found
Baroness Golding	Labour	No university found	Subjects allied to medicine	as a radiographer and worked in the NHS and currently serves as Patron of the Society of Radiographers	No occupation found
Baroness Goudie	Labour	No university found	Other	the , the TIA W, an Honorary Doctorate in 	No occupation found
Baroness Gould of Potternewton	Labour	No university found			No occupation found
Baroness Greenfield	Crossbench	St Hilda's College, Oxford	Medicine & dentistry	, classics, but became interested in philosophy and graduated with a first degree in philosophy and psychology, , the Australian Society for Medical Research Medal, edit	No occupation found
Baroness Greengross	Crossbench	No university found	Social studies	at the London School of Economics and Political Science, an Honorary Doctor of Letters , a Doctor of the University , an Honorary Doctor of Laws 	No occupation found
Baroness Grender	Liberal Democrat	No university found		No phrase found	No occupation found
Baroness Grey-Thompson	Crossbench	Loughborough University	Social studies	from Loughborough University in , Politics and Social Administration, Lifetime Achievement Award and another Honorary Doctorate from the University of East London in May 	Politician; athlete; TV personality
Baroness Hale of Richmond	Judge	Girton College, Cambridge	Law	at Girton College, Cambridge, where she read Law and graduated with a starred first and top of her class, an honorary doctorate from the University of Salford, an Honorary doctorate LLD from the University of Reading, an Honorary doctorate LL	Judge
Baroness Hamwee	Liberal Democrat	No university found			No occupation found
Baroness Hanham	Conservative	No university found			No occupation found
Baroness Harding of Winscombe	Conservative	University of Edinburgh		No phrase found	Advocate
Baroness Harris of Richmond	Liberal Democrat	No university found			No occupation found
Baroness Hayman	Crossbench	No university found	Law	law at Newnham College, Cambridge, graduating in , here, copy of the key of the City of Tirana, AlbaniaOffices held edit	No occupation found
Baroness Hayter of Kentish Town	Labour	No university found	Medicine & dentistry	Social and Public Administration , doctorate at London University in 	Labour Peer
Baroness Healy of Primrose Hill	Labour	No university found	Historical & philosophical studies	with a BA in Modern History 	No occupation found
Baroness Henig	Labour	No university found	Historical & philosophical studies	in , a PhD in history from Lancaster University in , a CBE in , with The Association of Security Consultant, to the most person making the most notable contribution to the security industry in the preceding year was shared with Don Randall MBE, the head of security to the Bank of England	Historian
Baroness Heyhoe Flint	Conservative	Pembroke College, Oxford		No phrase found	No occupation found
Baroness Hilton of Eggardon	Labour	No university found	Other	the Queen	Police officer
Baroness Hodgson of Abinger	Conservative	No university found		No phrase found	Police officer
Baroness Hogg	Conservative	Lady Margaret Hall, Oxford			No occupation found
Baroness Hollins	Crossbench	No university found		No phrase found	No occupation found
Baroness Hollis of Heigham	Labour	No university found	Other	the honorary degree of Doctor of the University by the Open UniversityControversy edit	No occupation found
Baroness Hooper	Conservative	No university found	Law	Bachelor of Arts in law in 	No occupation found
Baroness Howarth of Breckland	Crossbench	No university found			No occupation found
Baroness Howe of Idlicote	Crossbench	No university found			No occupation found
Baroness Howells of St Davids	Labour	No university found	Other	an OBE in the 	No occupation found
Baroness Hughes of Stretford	Labour	No university found		No phrase found	No occupation found
Baroness Humphreys	Liberal Democrat	No university found		No phrase found	No occupation found
Baroness Hussein-Ece	Liberal Democrat	Eton College		No phrase found	No occupation found
Baroness James of Holland Park	Conservative	No university found	Other	hospital administration and from 	Novelist
Baroness Jay of Paddington	Labour	Somerville College, Oxford			television producer/presenter
Baroness Jenkin of Kennington	Conservative	No university found			No occupation found
Baroness Jolly	Liberal Democrat	No university found	Mathematical sciences	from the University of Leeds with a degree in Control Engineering, and subsequently attended Nottingham University, where she studied mathematics to become a teacher	No occupation found
Baroness Jones of Moulsecoomb	Green	University College London	Social studies	archaeology, carbonised plant remains, before embarking on a career in politics	No occupation found
Baroness Jones of Whitchurch	Labour	No university found			No occupation found
Baroness Kennedy of Cradley	Labour	No university found	Social studies	BSc in Psychology	No occupation found
Baroness Kennedy of The Shaws	Labour	No university found	Law	Law at London	Barrister, television presenter
Baroness Kidron	Crossbench	No university found	Other	an Honorary Doctorate from Kingston University in 	Film director
Baroness King of Bow	Labour	No university found		No phrase found	No occupation found
Baroness Kingsmill	Labour	No university found	Medicine & dentistry	at Croesyceiliog School, Economics and Anthropology from Girton College, Cambridge, a CBE for her services to competition and employment law in the , five honorary doctorates from universities across England, Scotland and Wales, including a doctorate from Cranfield University in 	No occupation found
Baroness Kinnock of Holyhead	Labour	Cardiff University	Social studies	life peerage in , a life peerage when she joined the government in , in , personal invitation from Joe Biden to attend Barack Obama, a life peerage and became Baroness Kinnock of Holyhead, of Holyhead in the County of Ynys M	Teacher
Baroness Knight of Collingtree	Conservative	No university found			No occupation found
Baroness Kramer	Liberal Democrat	Oxford University	Social studies	Philosophy, Politics and Economics, demotion to Shadow Minister for the Cabinet Office	Politician
Baroness Lane-Fox of Soho	Crossbench	Fitzwilliam College, Cambridge		No phrase found	No occupation found
Baroness Lawrence of Clarendon	Labour	No university found	Other	the OBE , Lifetime Achievement Award at the 	Writer and parliamentarian
Baroness Liddell of Coatdyke	Labour	No university found		No phrase found	Historian
Baroness Linklater of Butterstone	Liberal Democrat	No university found			No occupation found
Baroness Lister of Burtersett	Labour	No university found	Social studies	with a BA in sociology, and continued to an MA in multi	No occupation found
Baroness Lockwood	Labour	No university found	Social studies	economics and politics at Ruskin College in Oxford	No occupation found
Baroness Ludford	Liberal Democrat	LSE	Law	as BSc and MSc, as a barrister, joining Gray	No occupation found
Baroness Maddock	Liberal Democrat	No university found			No occupation found
Baroness Mallalieu	Labour	No university found			No occupation found
Baroness Manningham-Buller	Crossbench	Lady Margaret Hall, Oxford	Languages	English at Lady Margaret Hall, Oxford, before joining the Security Service	Intelligence officer
Baroness Manzoor	Liberal Democrat	Lady Margaret Hall, Oxford		No phrase found	Intelligence officer
Baroness Masham of Ilton	Crossbench	No university found	Subjects allied to medicine	an Honorary Fellowship by the Royal College of Nursing	No occupation found
Baroness Massey of Darwen	Labour	No university found			No occupation found
Baroness McDonagh	Labour	No university found			No occupation found
Baroness McIntosh of Hudnall	Labour	No university found			No occupation found
Baroness Meacher	Crossbench	No university found	Social studies	Bachelor of Arts in economics in , Certificate of Qualification in Social Work in 	No occupation found
Baroness Miller of Chilthorne Domer	Liberal Democrat	No university found			No occupation found
Baroness Miller of Hendon	Conservative	No university found			No occupation found
Baroness Mobarik	Conservative	No university found		No phrase found	Judge
Baroness Morgan of Drefelin	Crossbench	University College, London			No occupation found
Baroness Morgan of Ely	Labour	University College, London		No phrase found	No occupation found
Baroness Morgan of Huyton	Labour	No university found	Other	in 	No occupation found
Baroness Morris of Bolton	Conservative	No university found			No occupation found
Baroness Morris of Yardley	Labour	Coventry College of Education	Education	BEd in , Honorary Doctorates in Arts from Leeds Metropolitan University , an Honorary Degree of Doctor of Education by Manchester Metropolitan University in recognition of her contribution to education throughout a lifelong career as a dedicated teacher and politician with an education portfolio that has spanned ten years	Teacher
Baroness Murphy	Crossbench	No university found			No occupation found
Baroness Neuberger	Liberal Democrat	No university found	Law	of morality and public policy in modern Britain 	No occupation found
Baroness Neville-Jones	Conservative	Lady Margaret Hall, Oxford			No occupation found
Baroness Neville-Rolfe	Conservative	No university found	Social studies	Philosophy, Politics and Economics at Somerville College, Oxford, with an MA and is now an Honorary Fellow of the college	Parliamentary Under-Secretary of State
Baroness Newlove	Conservative	No university found			No occupation found
Baroness Nicholson of Winterbourne	Liberal Democrat	No university found			Politician
Baroness Nicol	Labour	No university found			No occupation found
Baroness Noakes	Conservative	No university found	Law	Law, as a Chartered Accountant and became a partner in Peat Marwick Mitchell 	No occupation found
Baroness Northover	Liberal Democrat	St Anne's College, Oxford	Other	at St Anne, Bachelor of Arts , at Bryn Mawr College and the University of Pennsylvania, receiving a Master of Arts in , a research fellowship at University College London and St	Politician
Baroness Nye	Labour	University of Sheffield, University of Pennsylvania		No phrase found	Academic
Baroness O'Cathain	Conservative	No university found			No occupation found
Baroness O'Loan	Crossbench	No university found			No occupation found
Baroness O'Neill of Bengarve	Crossbench	Oxford University	Subjects allied to medicine	philosophy, psychology and physiology at Oxford University, an Honorary Degree , in 	Philosopher and politician
Baroness Oppenheim-Barnes	Conservative	No university found			No occupation found
Baroness Paisley of St George's	DUP	No university found			No occupation found
Baroness Parminter	Liberal Democrat	No university found	Historical & philosophical studies	Theology at Lady Margaret Hall, Oxford between 	No occupation found
Baroness Perry of Southwark	Conservative	No university found	Other	the Freedom of the City of London in 	No occupation found
Baroness Pinnock	Liberal Democrat	King's College, Cambridge		No phrase found	No occupation found
Baroness Pitkeathley	Labour	No university found	Other	an OBE in the 	No occupation found
Baroness Platt of Writtle	Conservative	No university found	Medicine & dentistry	Early life edit, Mathematics at Cambridge, Mechanical Sciences , a degree, only a , numerous of honorary fellowships and doctorates including an Honorary Fellow of the Institute of Mechanical Engineers , an honorary doctorate in science , edit	No occupation found
Baroness Prashar	Crossbench	No university found	Social studies	Politics at Leeds University, graduating in 	No occupation found
Baroness Prosser	Labour	No university found	Other	as a mature student at North East London Polytechnic, qualifying with a Post	No occupation found
Baroness Quin	Labour	No university found			Politician
Baroness Ramsay of Cartvale	Labour	University of Glasgow, Graduate Institute of International Studies	Other	with Elizabeth Smith, wife of the late John Smith	No occupation found
Baroness Randerson	Liberal Democrat	Bedford College, London	Other	or external links, but its sources remain unclear because it lacks inline citations	No occupation found
Baroness Rawlings	Conservative	No university found	Social studies	the British Red Cross national Badge of Honour in , for a postgraduate diploma in International Relations from the London School of Economics, an Hon DLitt from the University of Buckingham in , the Order of the Rose , the Grand Official, Order of the Southern Cross from the Republic of Brazil in 	No occupation found
Baroness Rebuck	Labour	No university found		No phrase found	Lawyer
Baroness Rendell of Babergh	Labour	No university found			Novelist
Baroness Richardson of Calow	Crossbench	No university found			No occupation found
Baroness Royall of Blaisdon	Labour	Westfield College	Languages	BA in Spanish and French in 	No occupation found
Baroness Scotland of Asthal	Labour	Cambridgeshire College of Arts and Technology	Law	, life peerage on a Labour Party list of working peers and was created Baroness Scotland of Asthal, of Asthal in the County of Oxfordshire on , the Polish Medal for her contribution to the reform and development of Law in Poland, number of other awards for her contribution to law reform in the UK and abroad, an Honorary Degree from the University of East London in 	No occupation found
Baroness Scott of Needham Market	Liberal Democrat	University of East Anglia (BA)	Languages	with a Bachelor of Arts in European Studies with German in 	No occupation found
Baroness Seccombe	Conservative	No university found	Other	or external links, but its sources remain unclear because it lacks inline citations	No occupation found
Baroness Shackleton of Belgravia	Conservative	No university found		No phrase found	No occupation found
Baroness Sharp of Guildford	Liberal Democrat	No university found	Other	BA in 	No occupation found
Baroness Sharples	Conservative	No university found			No occupation found
Baroness Shephard of Northwold	Conservative	St Hilda's College, Oxford			No occupation found
Baroness Sherlock	Labour	No university found	Other	at the University of Liverpool in the 	No occupation found
Baroness Shields	Conservative	No university found		No phrase found	No occupation found
Baroness Smith of Basildon	Labour	Leicester Polytechnic	Social studies	Public Administration, gaining a BA	No occupation found
Baroness Smith of Gilmorehill	Labour	No university found			No occupation found
Baroness Smith of Newnham	Liberal Democrat	No university found		No phrase found	No occupation found
Baroness Stedman-Scott	Conservative	No university found			No occupation found
Baroness Stern	Crossbench	No university found	Languages	English literature at Bristol University where she graduated in , an MLitt in 	No occupation found
Baroness Stowell of Beeston	Conservative	Central College Nottingham			No occupation found
Baroness Suttie	Liberal Democrat	No university found	Languages	with a degree in French and Russian from Heriot, at the Voronezh State University in Russia for some time	No occupation found
Baroness Symons of Vernham Dean	Labour	No university found			No occupation found
Baroness Taylor of Bolton	Labour	No university found			No occupation found
Baroness Thomas of Walliswood	Liberal Democrat	No university found	Historical & philosophical studies	with a Bachelor of Arts in history in 	No occupation found
Baroness Thomas of Winchester	Liberal Democrat	No university found			No occupation found
Baroness Thornton	Labour	No university found			No occupation found
Baroness Tonge	Liberal Democrat	University College, London			No occupation found
Baroness Trumpington	Conservative	No university found	Law	art and literature, as a lawyer	Politician, secretary
Baroness Turner of Camden	Labour	No university found			No occupation found
Baroness Tyler of Enfield	Liberal Democrat	No university found		No phrase found	Liberal Democrat Working Peer
Baroness Uddin	Labour	University of North London	Social studies	Diploma in social work, national and international reputation as a leader in promoting women, an extra , public subsidy of 	Community activist
Baroness Vadera	Labour	No university found	Social studies	Philosophy, Politics, and Economics at Somerville College, Oxford	Politician
Baroness Valentine	Crossbench	No university found	Mathematical sciences	Maths and Philosophy	No occupation found
Baroness Verma	Conservative	No university found			No occupation found
Baroness Wall of New Barnet	Labour	No university found			No occupation found
Baroness Walmsley	Liberal Democrat	No university found	Biological sciences	with a BSc in Biology in 	No occupation found
Baroness Warnock	Crossbench	No university found	Other	at Lady Margaret Hall, Oxford, and was made an Honorary Fellow in , an Honorary Degree 	No occupation found
Baroness Warsi	Conservative	University of Leeds	Law	Law, of the Marriage 	No occupation found
Baroness Warwick of Undercliffe	Labour	No university found			No occupation found
Baroness Wheatcroft	Conservative	University of Birmingham			No occupation found
Baroness Wheeler	Labour	No university found			No occupation found
Baroness Whitaker	Labour	No university found			No occupation found
Baroness Wilcox	Conservative	No university found			No occupation found
Baroness Wilkins	Labour	No university found			No occupation found
Baroness Williams of Crosby	Liberal Democrat	Somerville College, Oxford	Social studies	, as a Bachelor of Arts in Philosophy, Politics and Economics, Williams was awarded a Fulbright Scholarship and studied at Columbia University in New York City, edit	Journalist
Baroness Williams of Trafford	Conservative	No university found	Other	BSc in Applied Nutrution	No occupation found
Baroness Worthington	Labour	No university found	Languages	in English literature at Queens	No occupation found
Baroness Young of Hornsey	Crossbench	No university found	Creative arts & design	diploma in dramatic art in , from Middlesex Polytechnic with a Bachelor of Arts in Contemporary Cultural Studies	No occupation found
Baroness Young of Old Scone	Other	No university found			No occupation found
Earl Attlee	Conservative	No university found			No occupation found
Earl Baldwin of Bewdley	Crossbench	No university found			No occupation found
Earl Cathcart	Conservative	No university found			No occupation found
Earl Howe	Conservative	No university found			No occupation found
Earl Peel	Conservative	No university found			No occupation found
Lady Saltoun of Abernethy	Crossbench	No university found	Other	seat in the House of Lords	No occupation found
Lord Aberdare	Crossbench	No university found	Other	or external links, but its sources remain unclear because it lacks inline citations	No occupation found
Lord Addington	Liberal Democrat	University of Aberdeen	Other	as M	Politician
Lord Adebowale	Crossbench	No university found	Law	an honorary Doctor of Laws 	No occupation found
Lord Adonis	Labour	Keble College, Oxford	Historical & philosophical studies	a local education authority grant to attend Kingham Hill School, a boarding school in Oxfordshire, with a First Class Bachelor of Arts degree in Modern History, as a Doctor of Philosophy with a thesis on the British aristocracy of the late 	Politician
Lord Ahmad of Wimbledon	Conservative	No university found			Businessman, Politician
Lord Ahmed	Labour	Sheffield Polytechnic	Social studies	for a degree in Public Administration at Sheffield Polytechnic and joined the Labour Party when he was 	Property development and management [3]
Lord Alderdice	Liberal Democrat	Queen's University Belfast	Law	majority vote, several honours, an honorary doctorate in law from Robert Gordon University	No occupation found
Lord Allan of Hallam	Liberal Democrat	Queen's University Belfast		No phrase found	No occupation found
Lord Allen of Kensington	Labour	Queen's University Belfast		No phrase found	No occupation found
Lord Alli	Labour	No university found	Other	which he achieved public prominence, was in the television industry, and understanding of portraits and portraiture	Media entrepreneur
Lord Alliance	Liberal Democrat	No university found			Non-Executive Chairman,
Lord Alton of Liverpool	Crossbench	No university found			No occupation found
Lord Anderson of Swansea	Labour	University of Birmingham		No phrase found	No occupation found
Lord Archer of Weston-super-Mare	Other	No university found	Physical sciences	, for three years, gaining an academic qualification in teaching awarded by the Oxford University Department for Continuing Education, blue in athletics and went on to run for England once and also competed for Great Britain once and was successful, chemistry at St Anne, the US, then eventually in Britain in the autumn of , , Vicky Pryce, edit	Politician, life peer, published author
Lord Armstrong of Ilminster	Crossbench	No university found	Social studies	Greats	No occupation found
Lord Ashcroft	Conservative	No university found	Business & administrative studies	Higher National Diploma in Business studies, to New Zealand servicemen from the Army Museum at Waiouru in late 	Businessman, Philanthropist, Politician
Lord Ashdown of Norton-sub-Hamdon	Liberal Democrat	No university found			No occupation found
Lord Ashton of Hyde	Conservative	No university found		No phrase found	No occupation found
Lord Astor of Hever	Conservative	No university found			No occupation found
Lord Attenborough	Labour	Royal Academy of Dramatic Art	Creative arts & design	at RADA, as a sergeant, flying on several missions over Europe filming from the rear gunner, a lesson at the national memorial service on , in the service, the Padma Bhushan, India, the Shakespeare Prize for his life, the titles of Distinguished Honorary Fellows of the University of Leicester , an Honorary Doctorate of Drama from the Royal Scottish Academy of Music and Drama 	Actor, director, producer
Lord Avebury	Liberal Democrat	No university found			No occupation found
Lord Bach	Labour	New College, Oxford			No occupation found
Lord Baker of Dorking	Conservative	Magdalen College, Oxford	Law	with a BA Degree in Law , International Law and Regulations , an Honorary Doctorate of Education from Plymouth University	No occupation found
Lord Balfe	Conservative	No university found		No phrase found	No occupation found
Lord Bamford	Conservative	No university found		No phrase found	No occupation found
Lord Barber of Tewkesbury	Crossbench	No university found			No occupation found
Lord Barnett	Labour	No university found	Other	seat in the cabinet from 	No occupation found
Lord Bassam of Brighton	Labour	University of Sussex	Social studies	at the University of Sussex and University of Kent, where he received a Masters in social work, Bassam began his career as a social worker at Camden London Borough Council	No occupation found
Lord Bates	Conservative	University of Sussex		No phrase found	No occupation found
Lord Beecham	Labour	University of Sussex		No phrase found	No occupation found
Lord Bell	Conservative	No university found			Advertising and public relations executive
Lord Berkeley	Labour	No university found			No occupation found
Lord Berkeley of Knighton	Crossbench	No university found		No phrase found	No occupation found
Lord Best	Crossbench	No university found	Other	the OBE in , an honorary doctorate from the University of York	No occupation found
Lord Bew	Crossbench	No university found	Historical & philosophical studies	for his BA and PhD at Pembroke College, Cambridge, that challenged nationalist historiography by examining not only the clash between landowners and tenants, but the conflict between large and small tenants as well, of Charles Stewart Parnell, challenged some of the arguments of the award	No occupation found
Lord Bhatia	Crossbench	No university found			No occupation found
Lord Bhattacharyya	Labour	No university found	Engineering & technology	Mechanical Engineering at the Indian Institute of Technology, Kharagpur, at the University of Birmingham where he attained an MSc in Engineering Production and Management and a PhD in Engineering Production, by University of Surrey, by University of Technology, Malaysia , by President of India for services to Science and Technology , by Hong Kong Polytechnic University , by Birmingham University 	Professor, chairman of wmg
Lord Bichard	Crossbench	No university found	Social studies	local and then as a civil servant in central government	No occupation found
Lord Bilimoria	Crossbench	No university found	Law	as a chartered accountant with what is today Ernst , diploma in accounting from the London Metropolitan University, law at Sidney Sussex College, University of Cambridge, in 	Entrepreneur
Lord Bilston	Labour	No university found			No occupation found
Lord Birt	Crossbench	No university found	Engineering & technology	third, engineering, a knighthood, , an Emmy	No occupation found
Lord Black of Brentwood	Conservative	Peterhouse, Cambridge University	Historical & philosophical studies	from there with double first class honours in history in , a peerage 	No occupation found
Lord Black of Crossharbour	Conservative	No university found	Historical & philosophical studies	from a small, now defunct, private school in Toronto called Thornton Hall, continuing on to post, History at McGill University, the writings of Roman Catholic thinkers such as St	Former newspaper publisher, author, columnist, investor
Lord Blackwell	Conservative	No university found	Physical sciences	Early life edit, from Trinity College, Cambridge with a master of arts in natural sciences in , with a master of business administration in , edit	No occupation found
Lord Blair of Boughton	Crossbench	No university found		No phrase found	No occupation found
Lord Blencathra	Conservative	No university found		No phrase found	No occupation found
Lord Blyth of Rowington	Conservative	No university found	Historical & philosophical studies	or external links, but its sources remain unclear because it lacks inline citations, with a Bachelor of Arts and a Master of Arts in history in 	No occupation found
Lord Boateng	Labour	University of Bristol	Law	law at the University of Bristol and began his career in civil rights, originally as a solicitor, though he later retrained as a barrister, reputation for being tough on crime, particularly with regard to aggressive begging on the streets	Solicitor
Lord Borrie	Labour	No university found		No phrase found	No occupation found
Lord Borwick	Conservative	No university found		No phrase found	No occupation found
Lord Boswell of Aynho	Conservative	No university found	Agriculture & related subjects	degree in Classics and a diploma in agricultural economics	Marlborough College; New College, Oxford
Lord Bourne of Aberystwyth	Conservative	University of Wales, Aberystwyth. Trinity College, Cambridge			University Lecturer.
Lord Bowness	Conservative	No university found	Other	the CBE in 	No occupation found
Lord Boyce	Crossbench	No university found			No occupation found
Lord Boyd of Duncansby	Labour	Edinburgh University	Other	BA , 	Judge
Lord Brabazon of Tara	Conservative	No university found			No occupation found
Lord Bradley	Labour	Aston University, University of York, Manchester Metropolitan University	Social studies	at Aston University, gaining a DipAcct in , BA in Social Science in 	No occupation found
Lord Bradshaw	Liberal Democrat	No university found			British academic and politician
Lord Bragg	Labour	No university found	Historical & philosophical studies	Modern History at Wadham College, Oxford in the late 	Broadcaster, presenter, interviewer, commentator, novelist, scriptwriter[1]
Lord Bramall	Crossbench	No university found	Other	, edit	No occupation found
Lord Brennan	Labour	No university found	Law	with a Bachelor of Law degree from Manchester University, where subsequently he was awarded an honorary Doctorate in 	No occupation found
Lord Bridges	Crossbench	No university found		No phrase found	No occupation found
Lord Briggs	Crossbench	No university found	Other	BA from Sidney Sussex College, Cambridge in , an honorary degree as Doctor of the University, being broken up into five kinds, as Briggs and Burke discuss, 	Historian
Lord Brittan of Spennithorne	Conservative	Trinity College, Cambridge	Other	an Honorary Degree 	Barrister
Lord Broers	Crossbench	Geelong Grammar School	Physical sciences	physics from Melbourne University, Australia, electrical sciences from the University of Cambridge, after arriving initially as a choral scholar, of surfaces undergoing ion etching in the scanning electron microscope , from Cambridge, Lord Broers spent nearly 	No occupation found
Lord Brooke of Alverthorpe	Labour	No university found	Other	or external links, but its sources remain unclear because it lacks inline citations	No occupation found
Lord Brooke of Sutton Mandeville	Conservative	Balliol College, Oxford			No occupation found
Lord Brookman	Labour	No university found			No occupation found
Lord Brooks of Tremorfa	Labour	No university found			No occupation found
Lord Brougham and Vaux	Conservative	No university found			No occupation found
Lord Brown of Eaton-under-Heywood	Judge	Worcester College, Oxford	Other	from Worcester College, Oxford and was called to the Bar at the Middle Temple in 	Judge
Lord Browne of Belmont	DUP	Queen's University Belfast			No occupation found
Lord Browne of Ladyton	Labour	Queen's University Belfast		No phrase found	No occupation found
Lord Browne of Madingley	Crossbench	No university found	Physical sciences	First Class Bachelor, Physics, Physics from Cambridge University, he holds an MS in Business from Stanford University, California, Honorary Doctorates from Heriot	Managing Director and Managing Partner (Europe) of Riverstone Holdings LLC,
